VDS	ID	IREF	VGB
1.65016e+00	9.28381e-08	1.65275e-07	9.68722e-01
1.66015e+00	9.28394e-08	1.65274e-07	9.68701e-01
1.67014e+00	9.28413e-08	1.65274e-07	9.68677e-01
1.68016e+00	9.28437e-08	1.65269e-07	9.68709e-01
1.69015e+00	9.28381e-08	1.65271e-07	9.68696e-01
1.70014e+00	9.29026e-08	1.65272e-07	9.68687e-01
1.71013e+00	9.28712e-08	1.65274e-07	9.68706e-01
1.72013e+00	9.28878e-08	1.65273e-07	9.68692e-01
1.73015e+00	9.28872e-08	1.65271e-07	9.68680e-01
1.74014e+00	9.29179e-08	1.65275e-07	9.68712e-01
1.75013e+00	9.28997e-08	1.65277e-07	9.68717e-01
1.76013e+00	9.28985e-08	1.65281e-07	9.68721e-01
1.77015e+00	9.29047e-08	1.65281e-07	9.68728e-01
1.78015e+00	9.29406e-08	1.65281e-07	9.68709e-01
1.79013e+00	9.29265e-08	1.65280e-07	9.68715e-01
1.80012e+00	9.29424e-08	1.65281e-07	9.68719e-01
1.81015e+00	9.29729e-08	1.65278e-07	9.68724e-01
1.82014e+00	9.29709e-08	1.65282e-07	9.68722e-01
1.83013e+00	9.29975e-08	1.65284e-07	9.68732e-01
1.84012e+00	9.30018e-08	1.65285e-07	9.68717e-01
1.85011e+00	9.29816e-08	1.65284e-07	9.68739e-01
1.86013e+00	9.29787e-08	1.65284e-07	9.68687e-01
1.87013e+00	9.30115e-08	1.65287e-07	9.68714e-01
1.88012e+00	9.29892e-08	1.65287e-07	9.68686e-01
1.89010e+00	9.30059e-08	1.65284e-07	9.68722e-01
1.90013e+00	9.30000e-08	1.65285e-07	9.68690e-01
1.91012e+00	9.30284e-08	1.65285e-07	9.68703e-01
1.92011e+00	9.30215e-08	1.65283e-07	9.68703e-01
1.93010e+00	9.30285e-08	1.65284e-07	9.68709e-01
1.94009e+00	9.30262e-08	1.65289e-07	9.68703e-01
1.95011e+00	9.30471e-08	1.65290e-07	9.68716e-01
1.96011e+00	9.30427e-08	1.65288e-07	9.68713e-01
1.97009e+00	9.30621e-08	1.65291e-07	9.68698e-01
1.98008e+00	9.30568e-08	1.65290e-07	9.68704e-01
1.99011e+00	9.30632e-08	1.65288e-07	9.68695e-01
2.00010e+00	9.31088e-08	1.65290e-07	9.68699e-01
2.01066e+00	9.31099e-08	1.65290e-07	9.68693e-01
2.02091e+00	9.30935e-08	1.65283e-07	9.68711e-01
2.03088e+00	9.31123e-08	1.65285e-07	9.68693e-01
2.04080e+00	9.31491e-08	1.65285e-07	9.68719e-01
2.05074e+00	9.31250e-08	1.65282e-07	9.68678e-01
2.06067e+00	9.31081e-08	1.65283e-07	9.68703e-01
2.07093e+00	9.31387e-08	1.65283e-07	9.68713e-01
2.08085e+00	9.31545e-08	1.65280e-07	9.68701e-01
2.09075e+00	9.31438e-08	1.65279e-07	9.68715e-01
2.10073e+00	9.31668e-08	1.65279e-07	9.68692e-01
2.11066e+00	9.31580e-08	1.65278e-07	9.68707e-01
2.12093e+00	9.31795e-08	1.65274e-07	9.68693e-01
2.13088e+00	9.31501e-08	1.65278e-07	9.68707e-01
2.14085e+00	9.31546e-08	1.65279e-07	9.68705e-01
2.15081e+00	9.31770e-08	1.65277e-07	9.68715e-01
2.16075e+00	9.31780e-08	1.65274e-07	9.68684e-01
2.17099e+00	9.31835e-08	1.65276e-07	9.68702e-01
2.18092e+00	9.32304e-08	1.65275e-07	9.68703e-01
2.19085e+00	9.32107e-08	1.65279e-07	9.68693e-01
2.20080e+00	9.32473e-08	1.65279e-07	9.68696e-01
2.21073e+00	9.32168e-08	1.65276e-07	9.68692e-01
2.22096e+00	9.32374e-08	1.65277e-07	9.68691e-01
2.23091e+00	9.32430e-08	1.65280e-07	9.68707e-01
2.24086e+00	9.32698e-08	1.65278e-07	9.68691e-01
2.25077e+00	9.32787e-08	1.65277e-07	9.68694e-01
2.26074e+00	9.32985e-08	1.65278e-07	9.68709e-01
2.27103e+00	9.32524e-08	1.65276e-07	9.68709e-01
2.28095e+00	9.32832e-08	1.65278e-07	9.68694e-01
2.29088e+00	9.33253e-08	1.65274e-07	9.68710e-01
2.30084e+00	9.32966e-08	1.65278e-07	9.68691e-01
2.31076e+00	9.32561e-08	1.65279e-07	9.68693e-01
2.32105e+00	9.33326e-08	1.65278e-07	9.68697e-01
2.33100e+00	9.33435e-08	1.65278e-07	9.68667e-01
2.34093e+00	9.32977e-08	1.65276e-07	9.68688e-01
2.35086e+00	9.33314e-08	1.65274e-07	9.68677e-01
2.36083e+00	9.33405e-08	1.65277e-07	9.68681e-01
2.37110e+00	9.33243e-08	1.65274e-07	9.68693e-01
2.38103e+00	9.33414e-08	1.65274e-07	9.68689e-01
2.39095e+00	9.33123e-08	1.65275e-07	9.68686e-01
2.40089e+00	9.33977e-08	1.65274e-07	9.68688e-01
2.41083e+00	9.33527e-08	1.65278e-07	9.68679e-01
2.42110e+00	9.33764e-08	1.65274e-07	9.68710e-01
2.43101e+00	9.33803e-08	1.65274e-07	9.68673e-01
2.44095e+00	9.33670e-08	1.65273e-07	9.68703e-01
2.45088e+00	9.34214e-08	1.65274e-07	9.68699e-01
2.46080e+00	9.34432e-08	1.65279e-07	9.68707e-01
2.47108e+00	9.34429e-08	1.65279e-07	9.68693e-01
2.48100e+00	9.34342e-08	1.65282e-07	9.68706e-01
2.49093e+00	9.34038e-08	1.65284e-07	9.68681e-01
2.50084e+00	9.34061e-08	1.65282e-07	9.68678e-01
2.51077e+00	9.34290e-08	1.65282e-07	9.68718e-01
2.52105e+00	9.34868e-08	1.65280e-07	9.68690e-01
2.53100e+00	9.34414e-08	1.65277e-07	9.68683e-01
2.54093e+00	9.34602e-08	1.65275e-07	9.68692e-01
2.55089e+00	9.34475e-08	1.65278e-07	9.68693e-01
2.56083e+00	9.34832e-08	1.65280e-07	9.68693e-01
2.57107e+00	9.34820e-08	1.65279e-07	9.68691e-01
2.58101e+00	9.34820e-08	1.65281e-07	9.68707e-01
2.59096e+00	9.35216e-08	1.65280e-07	9.68694e-01
2.60088e+00	9.35358e-08	1.65275e-07	9.68684e-01
2.61084e+00	9.34927e-08	1.65277e-07	9.68709e-01
2.62111e+00	9.34861e-08	1.65272e-07	9.68691e-01
2.63103e+00	9.34910e-08	1.65276e-07	9.68701e-01
2.64097e+00	9.35182e-08	1.65274e-07	9.68686e-01
2.65092e+00	9.35406e-08	1.65277e-07	9.68684e-01
2.66116e+00	9.35122e-08	1.65274e-07	9.68727e-01
2.67108e+00	9.35318e-08	1.65276e-07	9.68678e-01
2.68103e+00	9.35160e-08	1.65278e-07	9.68683e-01
2.69096e+00	9.35120e-08	1.65279e-07	9.68696e-01
2.70093e+00	9.35490e-08	1.65279e-07	9.68680e-01
2.71120e+00	9.35684e-08	1.65281e-07	9.68675e-01
2.72112e+00	9.35604e-08	1.65279e-07	9.68686e-01
2.73105e+00	9.35348e-08	1.65278e-07	9.68690e-01
2.74101e+00	9.35317e-08	1.65278e-07	9.68678e-01
2.75097e+00	9.35327e-08	1.65275e-07	9.68683e-01
2.76121e+00	9.35882e-08	1.65279e-07	9.68691e-01
2.77115e+00	9.35895e-08	1.65279e-07	9.68684e-01
2.78110e+00	9.35945e-08	1.65282e-07	9.68669e-01
2.79103e+00	9.35843e-08	1.65283e-07	9.68698e-01
2.80097e+00	9.36197e-08	1.65286e-07	9.68665e-01
2.81120e+00	9.36397e-08	1.65284e-07	9.68697e-01
2.82115e+00	9.36692e-08	1.65280e-07	9.68692e-01
2.83109e+00	9.36781e-08	1.65284e-07	9.68700e-01
2.84100e+00	9.36395e-08	1.65281e-07	9.68709e-01
2.85093e+00	9.36971e-08	1.65286e-07	9.68702e-01
2.86121e+00	9.36624e-08	1.65287e-07	9.68698e-01
2.87116e+00	9.37006e-08	1.65287e-07	9.68687e-01
2.88109e+00	9.37163e-08	1.65285e-07	9.68689e-01
2.89101e+00	9.36978e-08	1.65287e-07	9.68684e-01
2.90094e+00	9.36959e-08	1.65287e-07	9.68694e-01
2.91122e+00	9.36868e-08	1.65287e-07	9.68690e-01
2.92115e+00	9.36734e-08	1.65289e-07	9.68692e-01
2.93106e+00	9.36863e-08	1.65286e-07	9.68683e-01
2.94102e+00	9.36637e-08	1.65286e-07	9.68671e-01
2.95098e+00	9.36939e-08	1.65290e-07	9.68688e-01
2.96125e+00	9.37136e-08	1.65290e-07	9.68691e-01
2.97116e+00	9.37308e-08	1.65290e-07	9.68714e-01
2.98107e+00	9.37433e-08	1.65290e-07	9.68707e-01
2.99100e+00	9.37851e-08	1.65295e-07	9.68711e-01
3.00093e+00	9.37781e-08	1.65291e-07	9.68714e-01
3.01117e+00	9.37509e-08	1.65289e-07	9.68707e-01
3.02112e+00	9.37485e-08	1.65291e-07	9.68700e-01
3.03108e+00	9.37804e-08	1.65296e-07	9.68709e-01
3.04103e+00	9.38223e-08	1.65296e-07	9.68714e-01
3.05095e+00	9.38426e-08	1.65297e-07	9.68680e-01
3.06119e+00	9.37919e-08	1.65296e-07	9.68712e-01
3.07111e+00	9.38180e-08	1.65298e-07	9.68705e-01
3.08108e+00	9.37942e-08	1.65298e-07	9.68722e-01
3.09100e+00	9.38272e-08	1.65301e-07	9.68689e-01
3.10092e+00	9.38184e-08	1.65303e-07	9.68691e-01
3.11118e+00	9.37881e-08	1.65299e-07	9.68681e-01
3.12116e+00	9.38349e-08	1.65298e-07	9.68703e-01
3.13108e+00	9.37899e-08	1.65298e-07	9.68691e-01
3.14102e+00	9.37971e-08	1.65293e-07	9.68687e-01
3.15091e+00	9.38252e-08	1.65292e-07	9.68704e-01
3.16117e+00	9.38282e-08	1.65292e-07	9.68682e-01
3.17110e+00	9.38204e-08	1.65290e-07	9.68669e-01
3.18100e+00	9.38627e-08	1.65291e-07	9.68682e-01
3.19093e+00	9.38722e-08	1.65292e-07	9.68696e-01
3.20089e+00	9.38769e-08	1.65292e-07	9.68686e-01
3.21118e+00	9.38716e-08	1.65292e-07	9.68693e-01
3.22107e+00	9.38939e-08	1.65292e-07	9.68682e-01
3.23103e+00	9.38752e-08	1.65295e-07	9.68705e-01
3.24094e+00	9.39179e-08	1.65287e-07	9.68691e-01
3.25088e+00	9.39172e-08	1.65291e-07	9.68695e-01
3.26113e+00	9.39317e-08	1.65287e-07	9.68705e-01
3.27106e+00	9.39194e-08	1.65291e-07	9.68674e-01
3.28104e+00	9.39037e-08	1.65289e-07	9.68698e-01
3.29101e+00	9.39167e-08	1.65288e-07	9.68683e-01
3.30094e+00	9.38912e-08	1.65288e-07	9.68660e-01
3.31116e+00	9.39095e-08	1.65289e-07	9.68669e-01
3.32108e+00	9.39091e-08	1.65288e-07	9.68683e-01
3.33106e+00	9.39114e-08	1.65283e-07	9.68692e-01
3.34097e+00	9.39574e-08	1.65286e-07	9.68666e-01
3.35121e+00	9.39346e-08	1.65286e-07	9.68673e-01
3.36115e+00	9.39377e-08	1.65285e-07	9.68663e-01
3.37111e+00	9.39474e-08	1.65286e-07	9.68680e-01
3.38104e+00	9.39309e-08	1.65285e-07	9.68661e-01
3.39095e+00	9.39572e-08	1.65285e-07	9.68677e-01
3.40119e+00	9.39769e-08	1.65288e-07	9.68669e-01
3.41115e+00	9.39466e-08	1.65287e-07	9.68675e-01
3.42107e+00	9.39841e-08	1.65287e-07	9.68669e-01
3.43101e+00	9.39786e-08	1.65289e-07	9.68666e-01
3.44096e+00	9.39905e-08	1.65287e-07	9.68661e-01
3.45124e+00	9.39727e-08	1.65292e-07	9.68674e-01
3.46118e+00	9.40048e-08	1.65295e-07	9.68674e-01
3.47113e+00	9.40170e-08	1.65293e-07	9.68681e-01
3.48105e+00	9.40656e-08	1.65288e-07	9.68687e-01
3.49099e+00	9.40382e-08	1.65288e-07	9.68667e-01
3.50124e+00	9.40168e-08	1.65289e-07	9.68650e-01
3.51116e+00	9.39736e-08	1.65284e-07	9.68646e-01
3.52110e+00	9.40160e-08	1.65284e-07	9.68671e-01
3.53101e+00	9.40152e-08	1.65282e-07	9.68658e-01
3.54095e+00	9.40256e-08	1.65286e-07	9.68664e-01
3.55121e+00	9.40495e-08	1.65280e-07	9.68662e-01
3.56113e+00	9.40517e-08	1.65281e-07	9.68648e-01
3.57105e+00	9.40464e-08	1.65282e-07	9.68674e-01
3.58102e+00	9.40585e-08	1.65283e-07	9.68666e-01
3.59098e+00	9.40941e-08	1.65283e-07	9.68647e-01
3.60123e+00	9.40598e-08	1.65283e-07	9.68658e-01
3.61115e+00	9.40915e-08	1.65283e-07	9.68678e-01
3.62110e+00	9.41049e-08	1.65284e-07	9.68670e-01
3.63103e+00	9.40961e-08	1.65285e-07	9.68639e-01
3.64100e+00	9.41336e-08	1.65280e-07	9.68658e-01
3.65123e+00	9.41459e-08	1.65282e-07	9.68695e-01
3.66117e+00	9.41735e-08	1.65279e-07	9.68667e-01
3.67108e+00	9.41986e-08	1.65281e-07	9.68684e-01
3.68105e+00	9.41892e-08	1.65280e-07	9.68668e-01
3.69097e+00	9.41816e-08	1.65281e-07	9.68699e-01
3.70122e+00	9.41738e-08	1.65278e-07	9.68677e-01
3.71117e+00	9.41926e-08	1.65279e-07	9.68664e-01
3.72111e+00	9.41200e-08	1.65278e-07	9.68635e-01
3.73101e+00	9.41005e-08	1.65278e-07	9.68669e-01
