VSB	ID	VGB
4.40148e-01	4.38017e-07	2.00012e+00
4.50135e-01	3.11421e-07	2.00012e+00
4.60124e-01	2.19735e-07	2.00012e+00
4.70150e-01	1.53945e-07	2.00012e+00
4.80139e-01	1.07528e-07	2.00011e+00
4.90128e-01	7.49746e-08	2.00012e+00
5.00144e-01	5.19257e-08	2.00012e+00
5.10129e-01	3.58771e-08	2.00012e+00
5.20153e-01	2.47492e-08	2.00012e+00
5.30139e-01	1.70613e-08	2.00012e+00
5.40127e-01	1.17228e-08	2.00012e+00
5.50152e-01	8.01894e-09	2.00012e+00
5.60142e-01	5.50297e-09	2.00012e+00
5.70131e-01	3.77390e-09	2.00012e+00
5.80155e-01	2.58355e-09	2.00013e+00
5.90142e-01	1.77143e-09	2.00012e+00
6.00130e-01	1.21165e-09	2.00012e+00
6.10154e-01	8.30402e-10	2.00012e+00
6.20129e-01	5.68353e-10	2.00012e+00
6.30118e-01	3.88321e-10	2.00013e+00
6.40148e-01	2.65101e-10	2.00013e+00
6.50133e-01	1.81672e-10	2.00013e+00
6.60120e-01	1.24246e-10	2.00013e+00
6.70150e-01	8.49657e-11	2.00013e+00
6.80142e-01	5.84215e-11	2.00012e+00
6.90128e-01	4.01053e-11	2.00012e+00
7.00148e-01	2.77168e-11	2.00012e+00
7.10142e-01	1.91494e-11	2.00012e+00
7.20126e-01	1.33570e-11	2.00014e+00
7.30149e-01	9.41813e-12	2.00014e+00
7.40135e-01	6.70445e-12	2.00014e+00
7.50121e-01	4.84574e-12	2.00013e+00
7.60158e-01	3.55124e-12	2.00013e+00
7.70148e-01	2.70498e-12	2.00013e+00
7.80166e-01	2.11394e-12	2.00013e+00
7.90155e-01	1.69921e-12	2.00013e+00
8.00144e-01	1.42133e-12	2.00012e+00
8.10169e-01	1.21439e-12	2.00013e+00
8.20147e-01	1.10614e-12	2.00014e+00
8.30148e-01	1.00172e-12	2.00014e+00
8.40165e-01	9.04798e-13	2.00013e+00
8.50151e-01	8.65221e-13	2.00013e+00
8.60135e-01	8.62598e-13	2.00013e+00
8.70165e-01	8.31008e-13	2.00013e+00
8.80157e-01	7.87735e-13	2.00013e+00
8.90141e-01	7.92623e-13	2.00013e+00
9.00165e-01	7.65085e-13	2.00013e+00
9.10154e-01	7.20978e-13	2.00013e+00
9.20142e-01	7.54476e-13	2.00013e+00
9.30163e-01	7.24912e-13	2.00013e+00
9.40147e-01	7.03335e-13	2.00013e+00
9.50141e-01	7.17282e-13	2.00014e+00
9.60165e-01	7.24554e-13	2.00014e+00
9.70151e-01	7.16567e-13	2.00014e+00
9.80143e-01	7.10249e-13	2.00012e+00
9.90168e-01	7.04408e-13	2.00012e+00
1.00015e+00	6.76274e-13	2.00012e+00
1.01014e+00	6.76274e-13	2.00012e+00
1.02015e+00	6.67453e-13	2.00012e+00
1.03015e+00	6.50764e-13	2.00013e+00
1.04017e+00	6.61016e-13	2.00013e+00
1.05015e+00	6.53267e-13	2.00013e+00
1.06016e+00	6.29663e-13	2.00012e+00
1.07017e+00	6.05822e-13	2.00013e+00
1.08016e+00	6.33359e-13	2.00013e+00
1.09014e+00	6.04630e-13	2.00012e+00
1.10017e+00	6.14405e-13	2.00013e+00
1.11015e+00	5.98192e-13	2.00013e+00
1.12014e+00	6.05106e-13	2.00013e+00
1.13016e+00	5.90324e-13	2.00013e+00
1.14015e+00	5.84722e-13	2.00013e+00
1.15014e+00	5.66959e-13	2.00013e+00
1.16017e+00	5.76735e-13	2.00013e+00
1.17015e+00	5.68986e-13	2.00012e+00
1.18014e+00	5.75066e-13	2.00012e+00
1.19016e+00	5.72205e-13	2.00012e+00
1.20015e+00	5.66006e-13	2.00012e+00
1.21014e+00	5.90086e-13	2.00012e+00
1.22015e+00	5.81026e-13	2.00012e+00
1.23014e+00	5.56707e-13	2.00012e+00
1.24013e+00	5.61714e-13	2.00013e+00
1.25016e+00	5.36084e-13	2.00013e+00
1.26014e+00	5.31435e-13	2.00013e+00
1.27014e+00	5.30481e-13	2.00013e+00
1.28016e+00	5.15103e-13	2.00012e+00
1.29014e+00	5.16295e-13	2.00013e+00
1.30017e+00	4.89473e-13	2.00013e+00
1.31016e+00	4.83036e-13	2.00013e+00
1.32014e+00	4.55260e-13	2.00012e+00
1.33017e+00	4.81486e-13	2.00012e+00
1.34015e+00	4.35352e-13	2.00013e+00
1.35014e+00	4.43339e-13	2.00012e+00
1.36016e+00	4.42862e-13	2.00012e+00
1.37015e+00	4.43816e-13	2.00013e+00
1.38014e+00	4.27723e-13	2.00013e+00
1.39016e+00	4.03762e-13	2.00013e+00
1.40014e+00	3.87788e-13	2.00013e+00
1.41013e+00	4.09484e-13	2.00013e+00
1.42015e+00	3.91960e-13	2.00013e+00
1.43014e+00	3.87192e-13	2.00013e+00
1.44014e+00	3.87549e-13	2.00013e+00
1.45017e+00	3.84212e-13	2.00012e+00
1.46014e+00	3.62039e-13	2.00013e+00
