VDS	ID	VGB
1.57017e+00	1.68239e-11	2.00006e+00
1.58016e+00	1.70352e-11	2.00006e+00
1.59019e+00	1.72522e-11	2.00006e+00
1.60018e+00	1.74930e-11	2.00006e+00
1.61017e+00	1.76495e-11	2.00007e+00
1.62015e+00	1.79366e-11	2.00007e+00
1.63015e+00	1.81557e-11	2.00007e+00
1.64018e+00	1.84102e-11	2.00007e+00
1.65016e+00	1.86474e-11	2.00007e+00
1.66015e+00	1.88892e-11	2.00008e+00
1.67014e+00	1.91199e-11	2.00007e+00
1.68016e+00	1.93571e-11	2.00007e+00
1.69015e+00	1.96284e-11	2.00007e+00
1.70014e+00	1.98478e-11	2.00008e+00
1.71014e+00	2.01017e-11	2.00007e+00
1.72013e+00	2.03680e-11	2.00007e+00
1.73015e+00	2.06074e-11	2.00008e+00
1.74015e+00	2.08195e-11	2.00008e+00
1.75015e+00	2.10838e-11	2.00008e+00
1.76013e+00	2.13218e-11	2.00007e+00
1.77015e+00	2.15483e-11	2.00007e+00
1.78015e+00	2.17781e-11	2.00007e+00
1.79013e+00	2.20340e-11	2.00006e+00
1.80012e+00	2.22646e-11	2.00007e+00
1.81014e+00	2.25095e-11	2.00007e+00
1.82014e+00	2.27350e-11	2.00007e+00
1.83013e+00	2.29439e-11	2.00007e+00
1.84011e+00	2.32002e-11	2.00007e+00
1.85011e+00	2.34315e-11	2.00007e+00
1.86014e+00	2.36815e-11	2.00007e+00
1.87013e+00	2.38974e-11	2.00007e+00
1.88012e+00	2.41288e-11	2.00008e+00
1.89011e+00	2.43566e-11	2.00007e+00
1.90013e+00	2.45991e-11	2.00008e+00
1.91012e+00	2.48197e-11	2.00007e+00
1.92011e+00	2.50117e-11	2.00007e+00
1.93010e+00	2.52134e-11	2.00007e+00
1.94008e+00	2.54114e-11	2.00007e+00
1.95010e+00	2.56391e-11	2.00007e+00
1.96010e+00	2.58597e-11	2.00008e+00
1.97009e+00	2.60668e-11	2.00007e+00
1.98008e+00	2.63022e-11	2.00007e+00
1.99010e+00	2.65231e-11	2.00008e+00
2.00009e+00	2.67205e-11	2.00007e+00
2.01071e+00	2.69809e-11	2.00008e+00
2.02093e+00	2.72338e-11	2.00007e+00
2.03087e+00	2.74165e-11	2.00008e+00
2.04083e+00	2.76071e-11	2.00007e+00
2.05077e+00	2.77626e-11	2.00007e+00
2.06079e+00	2.79359e-11	2.00008e+00
2.07103e+00	2.81576e-11	2.00008e+00
2.08098e+00	2.82787e-11	2.00007e+00
2.09088e+00	2.84154e-11	2.00007e+00
2.10080e+00	2.85752e-11	2.00007e+00
2.11075e+00	2.87480e-11	2.00007e+00
2.12102e+00	2.89655e-11	2.00007e+00
2.13099e+00	2.91381e-11	2.00007e+00
2.14090e+00	2.93087e-11	2.00008e+00
2.15085e+00	2.94378e-11	2.00008e+00
2.16076e+00	2.96245e-11	2.00008e+00
2.17107e+00	2.98009e-11	2.00007e+00
2.18103e+00	2.99757e-11	2.00007e+00
2.19100e+00	3.01070e-11	2.00008e+00
2.20092e+00	3.02573e-11	2.00007e+00
2.21084e+00	3.04035e-11	2.00007e+00
2.22109e+00	3.06002e-11	2.00007e+00
2.23102e+00	3.07297e-11	2.00008e+00
2.24098e+00	3.08778e-11	2.00007e+00
2.25096e+00	3.09496e-11	2.00008e+00
2.26090e+00	3.10729e-11	2.00007e+00
2.27112e+00	3.12903e-11	2.00007e+00
2.28105e+00	3.14424e-11	2.00006e+00
2.29098e+00	3.15860e-11	2.00006e+00
2.30093e+00	3.17426e-11	2.00006e+00
2.31083e+00	3.19036e-11	2.00007e+00
2.32109e+00	3.21313e-11	2.00007e+00
2.33105e+00	3.22937e-11	2.00007e+00
2.34098e+00	3.24658e-11	2.00007e+00
2.35094e+00	3.26324e-11	2.00007e+00
2.36086e+00	3.28023e-11	2.00006e+00
2.37107e+00	3.30044e-11	2.00006e+00
2.38096e+00	3.32003e-11	2.00007e+00
2.39091e+00	3.33731e-11	2.00007e+00
2.40086e+00	3.34914e-11	2.00009e+00
2.41078e+00	3.36180e-11	2.00008e+00
2.42106e+00	3.38819e-11	2.00008e+00
2.43095e+00	3.40658e-11	2.00008e+00
2.44089e+00	3.42705e-11	2.00008e+00
2.45083e+00	3.44793e-11	2.00008e+00
2.46073e+00	3.46749e-11	2.00008e+00
2.47104e+00	3.49526e-11	2.00008e+00
2.48108e+00	3.51750e-11	2.00007e+00
2.49097e+00	3.53912e-11	2.00007e+00
2.50090e+00	3.56405e-11	2.00007e+00
2.51079e+00	3.58421e-11	2.00007e+00
2.52103e+00	3.61066e-11	2.00007e+00
2.53097e+00	3.63690e-11	2.00007e+00
