VGB8	VSB8
9.02497e+00	4.49157e+00
9.04021e+00	4.50150e+00
9.05548e+00	4.51147e+00
9.07077e+00	4.52146e+00
9.08587e+00	4.53136e+00
9.10150e+00	4.54162e+00
9.11678e+00	4.55156e+00
9.13195e+00	4.56149e+00
9.14713e+00	4.57141e+00
9.16232e+00	4.58131e+00
9.17800e+00	4.59159e+00
9.19312e+00	4.60156e+00
9.20837e+00	4.61149e+00
9.22344e+00	4.62141e+00
9.23858e+00	4.63133e+00
9.25418e+00	4.64159e+00
9.26933e+00	4.65155e+00
9.28444e+00	4.66143e+00
9.29965e+00	4.67141e+00
9.31473e+00	4.68134e+00
9.33039e+00	4.69159e+00
9.34551e+00	4.70150e+00
9.36061e+00	4.71143e+00
9.37577e+00	4.72136e+00
9.39089e+00	4.73135e+00
9.40647e+00	4.74157e+00
9.42157e+00	4.75148e+00
9.43670e+00	4.76145e+00
9.45175e+00	4.77140e+00
9.46687e+00	4.78134e+00
9.48245e+00	4.79156e+00
9.49753e+00	4.80151e+00
9.51263e+00	4.81148e+00
9.52768e+00	4.82141e+00
9.54276e+00	4.83132e+00
9.55833e+00	4.84159e+00
9.57342e+00	4.85156e+00
9.58846e+00	4.86148e+00
9.60344e+00	4.87142e+00
9.61853e+00	4.88135e+00
9.63408e+00	4.89161e+00
9.64917e+00	4.90158e+00
9.66421e+00	4.91150e+00
9.67927e+00	4.92144e+00
9.69432e+00	4.93138e+00
9.70936e+00	4.94137e+00
9.72484e+00	4.95162e+00
9.73986e+00	4.96150e+00
9.75487e+00	4.97143e+00
9.76987e+00	4.98138e+00
9.78481e+00	4.99132e+00
9.80036e+00	5.00160e+00
