VGB	ID
7.30194e-01	4.82614e-09
7.40189e-01	5.59858e-09
7.50217e-01	6.49982e-09
7.60210e-01	7.53945e-09
7.70198e-01	8.75110e-09
7.80187e-01	1.01583e-08
7.90182e-01	1.18030e-08
8.00207e-01	1.37181e-08
8.10198e-01	1.59389e-08
8.20192e-01	1.85336e-08
8.30184e-01	2.15373e-08
8.40211e-01	2.50582e-08
8.50207e-01	2.91375e-08
8.60201e-01	3.38846e-08
8.70188e-01	3.94111e-08
8.80177e-01	4.58437e-08
8.90206e-01	5.33445e-08
9.00198e-01	6.20483e-08
9.10187e-01	7.21699e-08
9.20178e-01	8.39123e-08
9.30207e-01	9.76131e-08
9.40195e-01	1.13644e-07
9.50202e-01	1.32109e-07
9.60196e-01	1.53479e-07
9.70187e-01	1.78220e-07
9.80218e-01	2.07033e-07
9.90211e-01	2.40208e-07
1.00020e+00	2.78508e-07
1.01020e+00	3.22642e-07
1.02022e+00	3.73780e-07
1.03021e+00	4.31962e-07
1.04020e+00	4.99170e-07
1.05019e+00	5.76022e-07
1.06022e+00	6.64022e-07
1.07022e+00	7.63741e-07
1.08020e+00	8.77452e-07
1.09019e+00	1.00592e-06
1.10019e+00	1.15167e-06
1.11022e+00	1.31617e-06
1.12021e+00	1.50014e-06
1.13020e+00	1.70696e-06
1.14019e+00	1.93658e-06
1.15022e+00	2.19283e-06
1.16021e+00	2.47764e-06
1.17020e+00	2.79109e-06
1.18019e+00	3.13674e-06
1.19018e+00	3.51578e-06
1.20021e+00	3.93150e-06
1.21020e+00	4.38482e-06
1.22019e+00	4.87743e-06
1.23018e+00	5.41138e-06
1.24021e+00	5.99130e-06
1.25019e+00	6.61209e-06
1.26019e+00	7.27905e-06
1.27018e+00	7.99719e-06
1.28021e+00	8.76694e-06
1.29020e+00	9.58240e-06
1.30019e+00	1.04507e-05
1.31019e+00	1.13735e-05
1.32017e+00	1.23494e-05
1.33021e+00	1.33854e-05
1.34019e+00	1.44731e-05
1.35019e+00	1.56252e-05
1.36018e+00	1.68319e-05
1.37021e+00	1.81040e-05
1.38020e+00	1.94284e-05
1.39019e+00	2.08163e-05
1.40018e+00	2.22700e-05
1.41017e+00	2.37772e-05
1.42020e+00	2.53624e-05
1.43020e+00	2.69958e-05
1.44019e+00	2.87003e-05
1.45018e+00	3.04678e-05
1.46021e+00	3.23002e-05
