VGB	ID	VDS
9.80126e-01	7.24780e-08	1.30924e-02
9.90145e-01	8.37655e-08	1.30937e-02
1.00013e+00	9.66537e-08	1.30934e-02
1.01012e+00	1.11524e-07	1.31012e-02
1.02014e+00	1.28438e-07	1.31035e-02
1.03013e+00	1.47548e-07	1.31038e-02
1.04015e+00	1.69257e-07	1.31042e-02
1.05014e+00	1.93659e-07	1.31034e-02
1.06013e+00	2.21200e-07	1.31042e-02
1.07015e+00	2.52010e-07	1.31030e-02
1.08014e+00	2.86360e-07	1.31050e-02
1.09013e+00	3.24513e-07	1.31032e-02
1.10015e+00	3.66871e-07	1.31025e-02
1.11014e+00	4.13459e-07	1.31032e-02
1.12013e+00	4.64542e-07	1.31022e-02
1.13015e+00	5.20559e-07	1.31020e-02
1.14014e+00	5.81251e-07	1.31019e-02
1.15013e+00	6.46425e-07	1.31000e-02
1.16015e+00	7.17253e-07	1.31025e-02
1.17014e+00	7.92829e-07	1.31032e-02
1.18012e+00	8.73706e-07	1.31030e-02
1.19015e+00	9.59810e-07	1.31012e-02
1.20014e+00	1.05010e-06	1.31032e-02
1.21013e+00	1.14530e-06	1.31048e-02
1.22015e+00	1.24605e-06	1.31049e-02
1.23014e+00	1.35084e-06	1.31029e-02
1.24012e+00	1.46007e-06	1.31035e-02
1.25015e+00	1.57368e-06	1.31029e-02
1.26014e+00	1.69112e-06	1.31038e-02
1.27013e+00	1.81263e-06	1.31040e-02
1.28015e+00	1.93779e-06	1.31032e-02
1.29013e+00	2.06652e-06	1.31027e-02
1.30016e+00	2.19763e-06	1.31033e-02
1.31014e+00	2.33225e-06	1.31033e-02
1.32013e+00	2.46973e-06	1.31024e-02
1.33015e+00	2.60966e-06	1.31024e-02
1.34014e+00	2.75222e-06	1.31014e-02
1.35013e+00	2.89702e-06	1.31017e-02
1.36015e+00	3.04374e-06	1.30998e-02
1.37014e+00	3.19287e-06	1.31006e-02
1.38013e+00	3.34218e-06	1.30998e-02
1.39015e+00	3.49483e-06	1.30966e-02
1.40013e+00	3.64855e-06	1.30970e-02
1.41012e+00	3.80333e-06	1.30981e-02
1.42014e+00	3.95967e-06	1.30966e-02
1.43013e+00	4.11701e-06	1.30955e-02
1.44012e+00	4.27558e-06	1.30961e-02
1.45014e+00	4.43538e-06	1.30971e-02
1.46012e+00	4.59555e-06	1.30973e-02
1.47011e+00	4.75593e-06	1.30960e-02
1.48014e+00	4.91798e-06	1.30990e-02
1.49012e+00	5.08033e-06	1.30976e-02
1.50011e+00	5.24169e-06	1.30955e-02
1.51014e+00	5.40380e-06	1.30944e-02
1.52012e+00	5.56778e-06	1.30942e-02
1.53015e+00	5.73058e-06	1.30928e-02
1.54013e+00	5.89497e-06	1.30904e-02
1.55012e+00	6.05970e-06	1.30927e-02
1.56014e+00	6.22623e-06	1.30945e-02
1.57013e+00	6.38866e-06	1.30958e-02
1.58012e+00	6.55394e-06	1.30935e-02
1.59014e+00	6.71959e-06	1.30948e-02
1.60012e+00	6.88477e-06	1.30938e-02
1.61011e+00	7.04860e-06	1.30935e-02
1.62013e+00	7.21388e-06	1.30933e-02
1.63012e+00	7.37882e-06	1.30935e-02
1.64010e+00	7.54307e-06	1.30941e-02
1.65013e+00	7.70791e-06	1.30931e-02
1.66012e+00	7.87225e-06	1.30927e-02
1.67011e+00	8.03615e-06	1.30927e-02
1.68013e+00	8.20143e-06	1.30931e-02
1.69011e+00	8.36302e-06	1.30916e-02
1.70010e+00	8.52620e-06	1.30919e-02
1.71012e+00	8.68957e-06	1.30899e-02
1.72011e+00	8.85150e-06	1.30904e-02
1.73010e+00	9.01500e-06	1.30907e-02
1.74012e+00	9.18098e-06	1.30908e-02
1.75011e+00	9.34242e-06	1.30924e-02
1.76009e+00	9.50223e-06	1.30902e-02
1.77011e+00	9.66510e-06	1.30929e-02
1.78009e+00	9.83025e-06	1.30935e-02
1.79012e+00	9.99077e-06	1.30939e-02
1.80010e+00	1.01502e-05	1.30998e-02
1.81009e+00	1.03113e-05	1.31016e-02
1.82011e+00	1.04741e-05	1.31021e-02
1.83010e+00	1.06352e-05	1.31023e-02
1.84008e+00	1.07943e-05	1.31011e-02
1.85010e+00	1.09515e-05	1.31024e-02
1.86009e+00	1.11112e-05	1.31022e-02
1.87007e+00	1.12693e-05	1.31019e-02
