VGB	ID	VDS
7.00046e-01	6.72523e-10	1.05291e-02
7.10039e-01	7.81028e-10	1.05320e-02
7.20020e-01	9.08062e-10	1.05283e-02
7.30044e-01	1.05658e-09	1.05297e-02
7.40034e-01	1.22862e-09	1.05305e-02
7.50021e-01	1.42748e-09	1.05294e-02
7.60048e-01	1.66187e-09	1.05320e-02
7.70037e-01	1.93266e-09	1.05316e-02
7.80058e-01	2.24884e-09	1.05326e-02
7.90048e-01	2.61934e-09	1.05305e-02
8.00036e-01	3.04616e-09	1.05302e-02
8.10058e-01	3.54861e-09	1.05305e-02
8.20043e-01	4.13224e-09	1.05290e-02
8.30035e-01	4.81093e-09	1.05294e-02
8.40057e-01	5.60380e-09	1.05315e-02
8.50044e-01	6.53052e-09	1.05292e-02
8.60036e-01	7.60206e-09	1.05298e-02
8.70058e-01	8.86146e-09	1.05264e-02
8.80042e-01	1.03214e-08	1.05262e-02
8.90033e-01	1.20181e-08	1.05275e-02
9.00053e-01	1.39945e-08	1.05267e-02
9.10045e-01	1.63085e-08	1.05264e-02
9.20034e-01	1.89643e-08	1.05262e-02
9.30057e-01	2.20884e-08	1.05257e-02
9.40045e-01	2.56794e-08	1.05231e-02
9.50033e-01	2.98650e-08	1.05244e-02
9.60058e-01	3.47280e-08	1.05239e-02
9.70049e-01	4.03349e-08	1.05256e-02
9.80038e-01	4.68322e-08	1.05249e-02
9.90062e-01	5.42817e-08	1.05228e-02
1.00005e+00	6.28863e-08	1.05243e-02
1.01003e+00	7.27952e-08	1.05243e-02
1.02006e+00	8.41546e-08	1.05225e-02
1.03004e+00	9.70488e-08	1.05209e-02
1.04007e+00	1.11995e-07	1.05264e-02
1.05005e+00	1.28794e-07	1.05284e-02
1.06004e+00	1.47873e-07	1.05272e-02
1.07007e+00	1.69390e-07	1.05284e-02
1.08006e+00	1.93659e-07	1.05265e-02
1.09005e+00	2.20527e-07	1.05269e-02
1.10007e+00	2.50785e-07	1.05266e-02
1.11006e+00	2.84350e-07	1.05260e-02
1.12005e+00	3.21181e-07	1.05262e-02
1.13007e+00	3.62037e-07	1.05265e-02
